Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict
4FGL J0009.1-5012,319.3951,-65.54536,1061.3572,-22.4779007,2.4078472,0.20013253,0.15148015,1.375943,0.97284263,-0.55746925,0.004305203,0.4234309,-0.72268534,-0.58767265,-0.96198916,-0.99504125,2.659373241,PowerLaw,0.13365895,0.6666667,,,,,0,0,0,0.999585855,4.14E-04,0.964684447,0.035315553,0.99747082,0.00252918,0.9855645,0.0144355,0,0,0,0
4FGL J0009.2+6847,119.10994,6.235327,1165.8625,-21.0065189,2.6165042,0.18635528,0.44023114,4.4789386,-0.46070874,-0.3841832,0.007880902,0.58146274,-0.71955353,-0.86081463,-0.9272294,-0.9983699,1.490050106,LogParabola,0.17097901,0.6666667,3FGL J0008.5+6853,,,,0,0,0,0.751607432,0.248392568,0.66650258,0.33349742,0.527653246,0.472346754,0.210410897,0.789589103,0,0.372,0.371,1
4FGL J0009.7-1418,83.705765,-73.91203,894.4551,-22.15703768,2.3998108,0.120929815,0.075080775,1.0954866,0.999996,-0.3714634,0.001497066,0.17261867,-0.80372804,-0.7190192,-0.372177,-0.99980676,2.503323679,PowerLaw,0.07368669,0.6666667,3FGL J0010.5-1425,,,,0,0,0,0.999746078,2.54E-04,0.961154822,0.038845178,0.997474802,0.002525198,0.993919602,0.006080398,0,0,0,0
4FGL J0017.1-4605,320.38864,-69.86521,481.514,-22.95962584,2.8010092,0.1402191,-0.05767152,0.7361713,0.98915803,-0.76173323,0.001520187,0.19430096,-0.7686702,-0.6768366,-0.9451816,-0.9954987,1.416370578,PowerLaw,0.063843355,0.6666667,,,,,0,0,0,0.997817657,0.002182343,0.970539974,0.029460026,0.987986154,0.012013846,0.984812942,0.015187058,0,0,0,0
4FGL J0022.0-5921,309.86963,-57.381134,732.5074,-22.04681375,2.537588,0.08919102,-0.005795238,0.10795683,-0.41060922,-0.75831926,0.001111609,0.13310328,-0.7182757,-0.6109099,-0.7336397,-0.99996674,3.455568769,PowerLaw,0.04666388,0.6666667,,,,,0,0,2,0.999921377,7.86E-05,0.970483721,0.029516279,0.99996032,3.97E-05,0.998588412,0.001411588,0,0,0,0
4FGL J0024.0-7204,305.90195,-44.891075,956.1161,-19.23724643,2.093778,0.04264318,0.37520304,18.37318,-0.09216029,-0.04993778,9.64E-04,0.09288038,-0.40568277,-0.64168835,-0.9533204,-0.7539374,1.656491791,LogParabola,0.029846506,0.6666667,3FGL J0023.9-7203,3FHL J0024.2-7205,glc,NGC 104,0.99996454,0.98999244,0,0.001177585,0.998822415,0.579368467,0.420631533,6.33E-05,0.999936709,0.012950811,0.987049189,1,0.505,1,1
4FGL J0024.1+2402,114.974655,-38.41322,2737.6848,-22.35829544,2.0550044,0.1697117,0.01731128,0.24656475,-0.45307314,0.98913324,0.001322517,0.34101403,-0.80156136,-0.12376198,-0.42635804,-0.9996665,2.931890429,PowerLaw,0.07409332,0.6666667,,,,,0,0,0,0.999934369,6.56E-05,0.959427082,0.040572918,0.999798657,2.01E-04,0.998846156,0.001153844,0,0,0,0
4FGL J0025.3+6408,120.093605,1.421848,3490.1196,-20.87195433,2.1400595,0.08333566,0.010525173,0.29345292,0.9906323,-0.534741,1.88E-04,0.10219822,-0.4333221,-0.6122322,-0.5513473,-0.81964767,1.392043243,PowerLaw,0.036932897,0.6666667,3FGL J0025.7+6404,3FHL J0025.5+6407,snr,Tycho,0.96434534,0.999139,4,0.994746516,0.005253484,0.95699728,0.04300272,0.97774412,0.02225588,0.984991268,0.015008732,0,0,0,0
4FGL J0025.4-4838,314.39056,-67.90782,2360.4954,-22.42041882,2.120224,0.24728215,0.19902249,1.3044256,-0.87598664,-0.6207203,0.00225563,0.46133882,-0.2265852,-0.7316914,-0.39647144,-0.99995095,2.315936178,PowerLaw,0.16308129,0.6666667,,,,,0,0,16,0.999834522,1.65E-04,0.959449019,0.040550981,0.999806711,1.93E-04,0.986761954,0.013238046,0,0,0,0
4FGL J0026.1-0732,104.761604,-69.51759,2877.582,-22.60029388,2.0678716,0.23553458,0.007497286,0.0763394,0.96486175,-0.57855695,0.001536281,0.4889399,-0.7516996,-0.0845608,-0.9998975,0.99935234,0.226575936,PowerLaw,0.097587176,0.6666667,,,,,0,0,0,0.994853186,0.005146814,0.955600068,0.044399932,0.945635083,0.054364917,0.992210357,0.007789643,0,0,0,0
4FGL J0031.5-5648,308.3834,-60.11082,3495.2537,-22.72745973,1.9233072,0.23820475,0.1205033,1.1865219,-0.91591537,-0.6519288,0.002160789,0.4946759,-0.29841223,-0.49303713,-0.22535305,-0.9999604,2.457456273,PowerLaw,0.1262378,0.6666667,,,,,0,0,0,0.999843245,1.57E-04,0.959360306,0.040639694,0.999918995,8.10E-05,0.996872205,0.003127795,0,0,0,0
4FGL J0034.6+6438,121.13443,1.8261667,2202.9792,-21.09695865,2.4075618,0.1477125,0.20903453,2.615125,-0.9846532,0.9999429,0.002399671,0.35074928,-0.64227164,-0.7263853,-0.66132796,-0.9997937,1.222358811,PowerLaw,0.10449372,0.6666667,,,,,0,0,0,0.977518429,0.022481571,0.92527946,0.07472054,0.874777963,0.125222037,0.733927252,0.266072748,0,0.009,0,0
4FGL J0035.2-1739,100.58408,-79.825195,5669.1714,-23.09250414,1.7786542,0.26173517,0.048505876,0.45255506,0.9326504,-0.79339254,8.46E-04,0.41775858,-0.39450625,-0.30055183,-0.5851418,-0.10119126,0.711072586,PowerLaw,0.11647171,0.6666667,,,,,0,0,0,0.999914011,8.60E-05,0.953221757,0.046778243,0.979648442,0.020351558,0.99814559,0.00185441,0,0.001,0,0
4FGL J0037.2-2653,36.389965,-86.83259,1037.477,-23.04812644,2.4598632,0.23835601,0.060050935,0.44429338,0.9991169,-0.8291821,0.004045378,0.4551951,-0.6816895,-0.44899788,-0.99999946,0.99332017,1.293412284,PowerLaw,0.12949081,0.6666667,,,,,0,0,0,0.999278424,7.22E-04,0.960658618,0.039341382,0.984691263,0.015308737,0.974994408,0.025005592,0,0,0,0
4FGL J0039.1+6257,121.53531,0.12189149,1556.6835,-20.02687787,2.3489873,0.13300067,0.53318614,6.9901166,-0.19248404,-0.54192173,0.001605922,0.20189956,-0.14916933,-0.6351463,-0.9616537,-0.81124747,2.19367645,LogParabola,0.1098107,0.6666667,3FGL J0039.3+6256,,,,0,0,0,1.34E-04,0.99986628,0.580568726,0.419431274,0.326975749,0.673024251,0.02134803,0.97865197,1,0.491,1,1
4FGL J0039.7+4203,120.615395,-20.753937,1891.1735,-22.60178738,2.2988558,0.20404856,0.0159863,0.1962124,0.43188727,-0.2648368,0.001561436,0.33596587,-0.8281904,-0.47891375,-0.4802665,-0.99996984,2.329463463,PowerLaw,0.09817626,0.6666667,,,,,0,0,0,0.999807078,1.93E-04,0.959381708,0.040618292,0.998964496,0.001035504,0.994552911,0.005447089,0,0,0,0
4FGL J0040.7-7157,304.10223,-45.138298,3106.5767,-22.29253156,1.9914885,0.2800939,0.4993468,3.0711434,-0.8434966,-0.9964569,0.004660402,0.8224297,0.9799142,-0.4562085,-0.5855802,-0.9984731,0.717137526,LogParabola,0.23661324,0.6666667,,,,,0,0,0,0.999918267,8.17E-05,0.94309695,0.05690305,0.983172087,0.016827913,0.968271733,0.031728267,0,0.005,0,0
4FGL J0043.2+4114,121.28495,-21.604197,887.61536,-22.00237193,2.5234964,0.29237235,0.43375424,2.9630277,-0.73780704,-0.3705683,0.011299877,0.88891643,-0.4309573,-0.9094145,-0.99962103,-0.16713974,0.673890968,LogParabola,0.25465333,0.6666667,3FGL J0042.5+4117,,gal,M 31,1,0,2,0.99972169,2.78E-04,0.796664905,0.203335095,0.769830704,0.230169296,0.860518286,0.139481714,0,0.086,0,0
4FGL J0045.9-2021,112.1175,-83.1215,3003.43,-22.62076375,1.9567591,0.1966536,0.04939816,0.6343765,-0.94050235,0.99997526,9.44E-04,0.28069752,-0.6532472,-0.49353585,-0.31714457,-0.75355726,2.154649262,PowerLaw,0.08638931,0.6666667,,,,,0,0,0,0.999889886,1.10E-04,0.959428028,0.040571972,0.999610431,3.90E-04,0.998852556,0.001147444,0,0,0,0
4FGL J0046.7-7048,303.49277,-46.309517,3417.7913,-22.98864209,2.0708344,0.19586968,-0.016095472,0.19607288,-0.9972104,0.9210557,5.72E-04,0.2742608,-0.6669575,-0.55773884,-0.9991605,0.9961869,1.430329572,PowerLaw,0.074087225,0.6666667,,,,,0,0,0,0.998401062,0.001598938,0.958779858,0.041220142,0.998608326,0.001391674,0.991114848,0.008885152,0,0,0,0
4FGL J0047.3+6943,122.57157,6.8534408,7182.9204,-22.49713343,1.8924123,0.3207617,0.22452478,0.9951572,-0.9998876,0.99746394,0.001491834,0.73277193,-0.57375604,-0.3398513,-0.34198686,-0.5981328,1.872524508,PowerLaw,0.16484576,0.6666667,,,unk,1RXS J004724.5+694222,0,0.9525476,0,0.999289952,7.10E-04,0.955050632,0.044949368,0.995505988,0.004494012,0.993114199,0.006885801,0,0,0,0
4FGL J0047.5-2517,97.574394,-87.96936,1246.0215,-20.96788339,2.1412337,0.06347956,0.06680642,2.1227646,0.93683684,-0.30174148,5.02E-04,0.08580647,-0.570273,-0.6085724,-0.6834191,-0.5110912,1.67015875,PowerLaw,0.03397673,0.6666667,3FGL J0047.5-2516,3FHL J0047.6-2517,sbg,NGC 253,0.9993061,0.99712837,0,0.998899634,0.001100366,0.95647225,0.04352775,0.964689009,0.035310991,0.971747175,0.028252825,0,0,0,0
4FGL J0048.6-6347,303.44296,-53.33411,1341.7461,-21.53425836,2.1754348,0.18115535,0.3982205,4.3678927,-0.9999243,0.99952316,0.004762459,0.5256735,-0.40418828,-0.66950274,-0.7854947,-0.99993813,1.579449414,LogParabola,0.14414299,0.6666667,3FGL J0048.1-6343,,,,0,0,0,0.651172372,0.348827628,0.881170938,0.118829062,0.937299559,0.062700441,0.530870428,0.469129572,0,0.029,0,0.315
4FGL J0052.1+6444,123.01039,1.8703632,1656.2418,-21.28057468,2.5156395,0.17514867,0.2364143,2.4070873,-0.99547064,0.9997513,0.006582201,0.6468435,-0.46704617,-0.84611344,-0.7719512,-0.99986583,1.128795849,PowerLaw,0.168674,0.6666667,3FGL J0051.6+6445,,,,0,0,512,0.994946849,0.005053151,0.916100427,0.083899573,0.847761614,0.152238386,0.68802921,0.31197079,0,0.012,0,0
4FGL J0055.7+4507,123.732124,-17.740635,6487.0317,-23.24955426,1.771013,0.4425595,0.5161522,2.2921727,0.9999096,-0.9999997,0.009096475,2.5597537,0.9999886,-0.43777117,-0.27764365,-0.6540821,1.473514243,PowerLaw,0.34343994,0.6666667,,3FHL J0055.8+4507,,,0,0,0,0.999886191,1.14E-04,0.942442419,0.057557581,0.971871518,0.028128482,0.960864582,0.039135418,0,0.008,0,0
4FGL J0057.5+6814,123.49776,5.3709292,1602.9055,-22.02819514,2.53272,0.17592308,2.60E-04,0,-0.9985833,0.9905463,0.001425503,0.16311759,-0.8752328,-0.5832085,-0.8921638,0.18170558,1.652715386,PowerLaw,0.071244925,0.6666667,,,,,0,0,16,0.997220429,0.002779571,0.959194927,0.040805073,0.994400087,0.005599913,0.971171913,0.028828087,0,0,0,0
4FGL J0057.9+6326,123.66344,0.57604647,14527.771,-22.36168965,1.6726426,0.31574553,0.37038267,2.0507538,-0.75293905,-0.85403293,6.54E-04,0.4585714,-0.5799879,-0.4396499,-0.14850637,-0.1129792,2.435101953,PowerLaw,0.17205386,0.6666667,,3FHL J0057.9+6325,,,0,0,0,0.997583227,0.002416773,0.947854914,0.052145086,0.992087036,0.007912964,0.9934348,0.0065652,0,0.006,0,0
4FGL J0058.0-7245e,302.25146,-44.36958,668.8911,-19.56554882,2.2103305,0.03660867,0.09607346,5.579218,0.35465047,-0.43061408,2.26E-05,0.045409948,-0.62734485,-0.6059806,-0.6951379,-0.9993718,2.20128797,PLSuperExpCutoff,0.019674852,1,3FGL J0059.0-7242e,,GAL,SMC,,,4,0.98376299,0.01623701,0.86268855,0.13731145,0.862635959,0.137364041,0.917399224,0.082600776,0,0.045,0,0
4FGL J0058.1+6915,123.53306,6.396929,1805.5524,-22.00167372,2.552665,0.17370105,0.032970946,0.43593243,0.97341037,-0.78699374,0.001677603,0.28971106,-0.63023823,-0.7355421,-0.99754685,0.97655207,2.209425538,PowerLaw,0.07843356,0.6666667,,,,,0,0,8,0.99852707,0.00147293,0.959246302,0.040753698,0.992351628,0.007648372,0.988591803,0.011408197,0,0,0,0
4FGL J0058.3-4603,299.2362,-71.02254,2822.2625,-23.00437289,2.098462,0.19162391,-0.059272204,0.6387118,0.99994236,-0.6631517,9.64E-04,0.39477935,-0.7699233,-0.20665368,-0.6204807,-0.11483538,2.534496929,PowerLaw,0.07373702,0.6666667,,,,,0,0,0,0.999800196,2.00E-04,0.959527848,0.040472152,0.99956315,4.37E-04,0.998662454,0.001337546,0,0,0,0
4FGL J0102.0-6240,300.84314,-54.403248,3027.3816,-22.7699915,2.0030367,0.22303848,0.09996205,0.9853003,0.99997556,-0.64813334,0.00205481,0.43767342,-0.4662125,-0.30778533,-0.7820471,-0.4998326,2.135018719,PowerLaw,0.12274367,0.6666667,,,,,0,0,0,0.999610342,3.90E-04,0.959020881,0.040979119,0.998014585,0.001985415,0.994242691,0.005757309,0,0,0,0
4FGL J0102.1+4458,124.92797,-17.86201,3246.7822,-22.5924594,2.0214314,0.46559122,0.7738542,2.5300887,-0.9969884,0.8578584,0.002167592,0.0383794,-0.7280103,-0.17031722,-0.51491535,-0.9995351,2.122813764,PowerLaw,0.3087861,0.6666667,3FGL J0102.1+4458,,,,0,0,4,0.993687298,0.006312702,0.95508102,0.04491898,0.993042645,0.006957355,0.986601233,0.013398767,0,0,0,0
4FGL J0102.3+1000,127.39341,-52.764793,4414.4688,-22.36169572,1.9644006,0.32826358,0.3959765,2.3007338,-0.45761946,-0.9987252,0.004415604,1.0253317,0.97399586,-0.34125528,-0.52482027,-0.99999535,1.321665428,PowerLaw,0.24422736,0.6666667,,,,,0,0,0,0.9999525,4.75E-05,0.953347079,0.046652921,0.990864889,0.009135111,0.989936961,0.010063039,0,0.001,0,0
4FGL J0104.6-0818,132.989,-70.92556,1213.232,-22.65455483,2.3734674,0.3623292,0.06870431,0.3754106,0.07398744,-0.9189969,0.004335815,0.6068921,-0.2467782,-0.59371513,-0.99938387,-0.6538384,1.771660253,PowerLaw,0.19428208,0.6666667,,,,,0,0,0,0.999821503,1.78E-04,0.960353384,0.039646616,0.997433095,0.002566905,0.986503409,0.013496591,0,0,0,0
4FGL J0112.0+3442,127.72831,-27.977003,1290.2421,-22.62737341,2.3373687,0.39924687,0.34205857,1.6276882,0.92447466,0.30099624,0.005514027,0.67387706,-0.55669886,-0.6224094,-0.999968,-0.990754,1.423588526,PowerLaw,0.2753685,0.6666667,,,,,0,0,1,0.999491703,5.08E-04,0.94301798,0.05698202,0.895381419,0.104618581,0.938250411,0.061749589,0,0.001,0,0
4FGL J0118.3-6008,296.8381,-56.66605,1928.3923,-23.05538456,2.1720219,0.38724738,0.49745554,2.329121,-1,0.9999988,0.007836868,0.98096514,-0.42265618,-0.70876706,-0.85307753,-0.9998646,2.354511736,PowerLaw,0.34034577,0.6666667,,,,,0,0,0,0.99947489,5.25E-04,0.958915373,0.041084627,0.997117079,0.002882921,0.949821123,0.050178877,0,0,0,0
4FGL J0120.1+0505,136.17094,-57.039967,1020.5781,-22.81141169,2.5491157,0.1433962,-0.11327896,1.6264851,0.2700064,-0.9429898,8.92E-04,0.3079842,-0.3045625,-0.6063143,-0.7101936,-0.9999973,2.183941926,PowerLaw,0.04926828,0.6666667,,,,,0,0,0,0.999897047,1.03E-04,0.960582743,0.039417257,0.997002772,0.002997228,0.993427283,0.006572717,0,0,0,0
4FGL J0120.2-7944,301.32455,-37.297035,1648.3358,-22.72814392,2.3834817,0.13905933,-0.087300785,1.3696637,0.9923302,-0.8800795,5.39E-04,0.24928038,-0.57096386,-0.700483,-0.15547203,-0.6577446,2.733471496,PowerLaw,0.047262046,0.6666667,,,,,0,0,4,0.999915841,8.42E-05,0.960039681,0.039960319,0.999575515,4.24E-04,0.997006271,0.002993729,0,0,0,0
4FGL J0125.9-6303,296.34128,-53.627823,1416.2109,-22.72709032,2.321381,0.16882932,0.007659022,0.101563826,0.39892927,-0.6110002,0.001253826,0.25213587,-0.8068123,-0.3752848,-0.7504526,-0.25686392,2.233336809,PowerLaw,0.076793045,0.6666667,,,,,0,0,0,0.999729343,2.71E-04,0.961034714,0.038965286,0.999568876,4.31E-04,0.998340853,0.001659147,0,0,0,0
4FGL J0126.3-6746,297.91083,-49.010098,7687.73,-23.50371872,1.737266,0.34784696,0.20507346,1.2218974,0.95706004,-0.999832,0.001706143,0.70389456,0.9994604,-0.33297503,-0.9938358,0.9813364,1.385848657,PowerLaw,0.20893957,0.6666667,,,,,0,0,0,0.994790135,0.005209865,0.951023585,0.048976415,0.990921297,0.009078703,0.981840153,0.018159847,0,0.005,0,0
4FGL J0126.8+2412,133.17609,-37.95704,409.9141,-22.37713092,2.8201225,0.11372462,-0.031127423,0.44761357,-0.50572854,-0.6607537,0.001234845,0.1421305,-0.7596092,-0.9188179,0.118868954,-0.99835616,3.555796351,PowerLaw,0.058823414,0.6666667,,,,,0,0,0,0.999943633,5.64E-05,0.967983813,0.032016187,0.999974975,2.50E-05,0.999033436,9.67E-04,0,0,0,0
4FGL J0129.0+6312,127.15824,0.6493515,908.47736,-20.99401354,2.6639903,0.14883009,0.23745841,3.1423504,0.992846,-0.42510837,0.004235146,0.3199964,-0.7505972,-0.69712466,-0.99973905,0.96537846,1.587770359,LogParabola,0.10277525,0.6666667,3FGL J0128.4+6257,,spp,2MASS J01283059+6306298,0.8272173,0,2,0.308931002,0.691068998,0.800492264,0.199507736,0.685986516,0.314013484,0.390549899,0.609450101,1,0.09,0,0.963
4FGL J0131.7-5346,290.05676,-62.33528,1277.0319,-22.42190804,2.3552547,0.23483618,0.08636972,0.65008974,0.97801,-0.55551255,0.002234781,0.32714105,-0.47565746,-0.8352642,-0.6056852,-0.17918804,1.507225601,PowerLaw,0.15694925,0.6666667,3FGL J0132.1-5340,,,,0,0,0,0.999815262,1.85E-04,0.961688111,0.038311889,0.995576206,0.004423794,0.9918814,0.0081186,0,0,0,0
4FGL J0137.3-3239,244.7201,-78.62133,1744.1489,-22.92088584,2.252944,0.2471971,0.059750095,0.48446235,0.8493735,0.15434808,0.002128816,0.3671257,-0.7755035,-0.1541218,-0.99989015,0.9983735,2.054187334,PowerLaw,0.14089927,0.6666667,,,,,0,0,0,0.993191609,0.006808391,0.95973959,0.04026041,0.998000056,0.001999944,0.991838576,0.008161424,0,0,0,0
4FGL J0138.6+6821,127.284904,5.8786836,987.35345,-21.53007695,2.6994045,0.11209629,0.061733,1.0013779,0.996168,-0.4854619,0.001148452,0.0873777,-0.88301605,-0.7367484,-0.52255034,-0.6924381,0.389265991,PowerLaw,0.0679488,0.6666667,,,unk,87GB 013451.9+680621,0,0.8131367,0,0.999234238,7.66E-04,0.924630784,0.075369216,0.788362094,0.211637906,0.972338486,0.027661514,0,0.004,0,0
4FGL J0139.5-2228,192.49397,-78.132126,1619.142,-21.81024508,2.0709014,0.30222672,0.6364676,4.1017823,-0.9999989,0.9999901,0.00625742,0.80142176,-0.32230237,-0.4133878,-0.9338976,-0.9999195,2.230841417,LogParabola,0.26772854,0.6666667,,,,,0,0,0,0.996624145,0.003375855,0.932816757,0.067183243,0.971071211,0.028928789,0.688234094,0.311765906,0,0.005,0,0.002
4FGL J0140.3+7054,126.94713,8.414599,5510.8564,-22.20846748,2.001321,0.23352878,0.19876093,1.444324,0.89403147,-0.95221096,0.001455772,0.51091564,0.037887704,-0.4076255,-0.4174423,-0.5623125,1.792049503,PowerLaw,0.14053155,0.6666667,,3FHL J0140.3+7054,,,0,0,0,0.999331542,6.68E-04,0.954555486,0.045444514,0.986812766,0.013187234,0.993247845,0.006752155,0,0,0,0
4FGL J0140.5-4730,280.91638,-67.46981,465.21622,-23.11661649,2.8653383,0.13779512,-0.11463478,1.6899593,-0.6277197,-0.8509598,8.12E-04,0.2173876,-0.5180796,-0.7500977,-0.9998597,0.5184178,1.759149345,PowerLaw,0.048151884,0.6666667,,,,,0,0,4,0.99832766,0.00167234,0.971554236,0.028445764,0.997583299,0.002416701,0.988495294,0.011504706,0,0,0,0
4FGL J0142.5+6650,127.93481,4.459727,1128.8978,-21.57645743,2.569033,0.30122668,0.5064655,3.4151874,-0.78020245,0.013785608,0.09466242,6.807821,-0.6697796,-0.833776,-0.9524619,-0.9931345,1.117744997,LogParabola,0.2630764,0.6666667,,,,,0,0,9,0.936995074,0.063004926,0.727709077,0.272290923,0.478410343,0.521589657,0.374707427,0.625292573,0,0.242,0.435,0.985
4FGL J0144.3+5959,129.50565,-2.1973364,966.2428,-21.92268353,2.6243238,0.18116315,0.06326261,0.63419175,0.9999999,-0.55668896,0.003347653,0.36957064,-0.7387664,-0.79999906,-0.6693385,-0.9998638,1.593913713,PowerLaw,0.10859622,0.6666667,,,,,0,0,9,0.999702177,2.98E-04,0.958732571,0.041267429,0.975330378,0.024669622,0.981749929,0.018250071,0,0,0,0
4FGL J0150.4+4848,132.83994,-12.919026,4082.8174,-22.56780765,2.098816,0.4097392,0.9999538,3.2805753,0.9998983,-0.8270344,0.001878691,0.02801396,-0.50877696,0.13861662,-0.9750211,-0.99718904,1.323271224,LogParabola,,0.6666667,3FGL J0149.6+4846,,,,0,0,2052,0.978564049,0.021435951,0.861925647,0.138074353,0.644785352,0.355214648,0.761849714,0.238150286,0,0.072,0,0
4FGL J0153.3+5416,131.96814,-7.508969,5661.3086,-22.52206055,1.9180267,0.22563702,0.051203556,0.5265455,-0.80462694,-0.06347771,4.96E-04,0.2575326,-0.8316336,-0.11881941,-0.58899593,-0.30379006,2.583585336,PowerLaw,0.10362572,0.6666667,,,,,0,0,0,0.99987827,1.22E-04,0.958242463,0.041757537,0.999564313,4.36E-04,0.998360195,0.001639805,0,0,0,0
