Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_beta,LP_SigCurv,hr12,hr23,Unc_PLEC_Expfactor,PLEC_Exp_Index,hr34,hr45,hr56,hr67,Variability_Index,SpectrumType,Unc_LP_beta,Unc_PLEC_Index,ASSOC_FGL,CLASS2,ASSOC2,ASSOC_PROB_BAY,ASSOC_PROB_LR,Flags,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_P,NN_P,LR_P,RF_P
4FGL J0009.2+6847,119.10994,6.235327,1165.8625,-21.006518903532992,2.6165042,0.18635528,0.44023114,4.4789386,-0.46070874,-0.3841832,0.007880902,0.6666667,-0.71955353,-0.86081463,-0.9272294,-0.9983699,1.4900501056673268,LogParabola,0.17097901,0.58146274,3FGL J0008.5+6853,,,0.0,0.0,0,0.751607431851871,0.24839256814814684,0.6659210534501043,0.33407894654989617,0.5245915687163852,0.4754084312836152,0.718638130378332,0.2813618696216691,0.0,0.37,0.377,0.0
4FGL J0009.2+1745,108.90927,-43.96513,852.2369,-22.677626051553574,2.5332298,0.28011072,0.24630912,1.7144711,-0.71931475,-0.6300978,0.0066710543,0.6666667,-0.58815855,-0.8256248,-0.99990636,0.6616946,2.588713472670378,PowerLaw,0.19021377,0.5856498,,agn,WISE J000848.06+175048.8,0.31,0.0,0,0.9996230261277556,0.0003769738722579898,0.9607641621325225,0.03923583786747659,0.9983726987942501,0.0016273012057511941,0.9899759093372722,0.01002409066272704,0.0,0.0,0.0,0.0
4FGL J0009.7-1418,83.705765,-73.91203,894.4551,-22.157037675443156,2.3998108,0.120929815,0.075080775,1.0954866,0.999996,-0.3714634,0.0014970663,0.6666667,-0.80372804,-0.7190192,-0.372177,-0.99980676,2.503323679093137,PowerLaw,0.07368669,0.17261867,3FGL J0010.5-1425,,,0.0,0.0,0,0.999730801301239,0.0002691986987437504,0.961150116808569,0.038849883191432094,0.9973140468127502,0.002685953187250645,0.9961113580082978,0.0038886419917023344,0.0,0.0,0.0,0.0
4FGL J0017.1-4605,320.38864,-69.86521,481.514,-22.959625841490908,2.8010092,0.1402191,-0.05767152,0.7361713,0.98915803,-0.76173323,0.0015201874,0.6666667,-0.7686702,-0.6768366,-0.9451816,-0.9954987,1.4163705783458544,PowerLaw,0.063843355,0.19430096,,,,0.0,0.0,0,0.9976469365420821,0.0023530634579220088,0.9703973222096433,0.029602677790356583,0.9871735597722477,0.012826440227752804,0.9880468201170374,0.011953179882961174,0.0,0.0,0.0,0.0
4FGL J0022.0-5921,309.86963,-57.381134,732.5074,-22.046813745862547,2.537588,0.08919102,-0.0057952376,0.10795683,-0.41060922,-0.75831926,0.0011116086,0.6666667,-0.7182757,-0.6109099,-0.7336397,-0.99996674,3.455568768737579,PowerLaw,0.04666388,0.13310328,,,,0.0,0.0,2,0.9999147569661777,8.524303381681423e-05,0.9704921158189689,0.029507884181031507,0.9999570027302207,4.299726977803954e-05,0.9987544298879926,0.0012455701120067664,0.0,0.0,0.0,0.0
4FGL J0023.6-4209,321.8499,-73.93347,3249.713,-22.85123680258258,1.9954411,0.17606138,-0.031098245,0.4431692,0.94646424,-0.83410853,3.7627824E-4,0.6666667,-0.29289755,-0.5566745,-0.9994473,0.998512,2.9215249676188004,PowerLaw,0.062351476,0.23858924,,agn,CRATES J002254-420637,0.72,0.0,0,0.9996594176833473,0.00034058231664864586,0.9594421359061088,0.0405578640938923,0.9997577934337518,0.00024220656624777715,0.991111634055883,0.008888365944117368,0.0,0.0,0.0,0.0
4FGL J0024.1+2402,114.974655,-38.41322,2737.6848,-22.358295438307277,2.0550044,0.1697117,0.01731128,0.24656475,-0.45307314,0.98913324,0.0013225168,0.6666667,-0.80156136,-0.12376198,-0.42635804,-0.9996665,2.931890429439731,PowerLaw,0.07409332,0.34101403,,,,0.0,0.0,0,0.9999448846267859,5.511537318859407e-05,0.9594250895385036,0.040574910461497804,0.9997883494682144,0.0002116505317856275,0.999050692461575,0.0009493075384248461,0.0,0.0,0.0,0.0
4FGL J0025.4-4838,314.39056,-67.90782,2360.4954,-22.420418819308413,2.120224,0.24728215,0.19902249,1.3044256,-0.87598664,-0.6207203,0.0022556304,0.6666667,-0.2265852,-0.7316914,-0.39647144,-0.99995095,2.31593617826415,PowerLaw,0.16308129,0.46133882,,,,0.0,0.0,16,0.999863452115726,0.00013654788428914386,0.9594509300879593,0.04054906991204108,0.9998017074614052,0.00019829253859358784,0.9951459093821616,0.00485409061783818,0.0,0.0,0.0,0.0
4FGL J0026.1-0732,104.761604,-69.51759,2877.582,-22.60029387887458,2.0678716,0.23553458,0.007497286,0.0763394,0.96486175,-0.57855695,0.0015362805,0.6666667,-0.7516996,-0.0845608,-0.9998975,0.99935234,0.226575935949581,PowerLaw,0.097587176,0.4889399,,,,0.0,0.0,0,0.9952607651309864,0.004739234868995189,0.955593395355864,0.04440660464413676,0.9445078027307101,0.055492197269290465,0.9827430041278034,0.017256995872197388,0.0,0.0,0.0,0.0
4FGL J0031.0-2327,70.318275,-84.105675,1537.2075,-22.51650905424902,2.1938756,0.3009217,0.6046377,2.8907936,-0.99996674,0.9996977,0.008457327,0.6666667,-0.39504796,-0.6783464,-0.9999992,0.99995095,1.7162202797881412,PowerLaw,0.32244062,0.86579686,3FGL J0031.2-2320,agn,2WHSP J003120.5-233401.,0.45,0.0,0,0.9989859193033285,0.0010140806966567662,0.9420095986363386,0.05799040136366256,0.973696168133873,0.026303831866127024,0.9510894379505859,0.04891056204941553,0.0,0.002,0.0,0.0
4FGL J0031.5-5648,308.3834,-60.11082,3495.2537,-22.727459726786556,1.9233072,0.23820475,0.1205033,1.1865219,-0.91591537,-0.6519288,0.0021607885,0.6666667,-0.29841223,-0.49303713,-0.22535305,-0.9999604,2.457456272999204,PowerLaw,0.1262378,0.4946759,,,,0.0,0.0,0,0.9998687207786635,0.00013127922131893279,0.9593601777431212,0.04063982225688055,0.9999173551804157,8.26448195834713e-05,0.9978600222881614,0.0021399777118368472,0.0,0.0,0.0,0.0
4FGL J0034.6+6438,121.13443,1.8261667,2202.9792,-21.096958646631943,2.4075618,0.1477125,0.20903453,2.615125,-0.9846532,0.9999429,0.002399671,0.6666667,-0.64227164,-0.7263853,-0.66132796,-0.9997937,1.2223588113635582,PowerLaw,0.10449372,0.35074928,,,,0.0,0.0,0,0.9810899561460997,0.018910043853884687,0.9244429011520138,0.07555709884798781,0.8689670815951832,0.13103291840481576,0.94151874207538,0.058481257924619584,0.0,0.009,0.0,0.0
4FGL J0035.2-1739,100.58408,-79.825195,5669.1714,-23.092504135077853,1.7786542,0.26173517,0.048505876,0.45255506,0.9326504,-0.79339254,8.4624975E-4,0.6666667,-0.39450625,-0.30055183,-0.5851418,-0.10119126,0.7110725856599884,PowerLaw,0.11647171,0.41775858,,,,0.0,0.0,0,0.9999216373937834,7.836260618888372e-05,0.9531599556826326,0.04684004431736907,0.9790708611131292,0.02092913888687169,0.9985712336262501,0.0014287663737499148,0.0,0.002,0.0,0.0
4FGL J0037.2-2653,36.389965,-86.83259,1037.477,-23.04812643715681,2.4598632,0.23835601,0.060050935,0.44429338,0.9991169,-0.8291821,0.0040453775,0.6666667,-0.6816895,-0.44899788,-0.99999946,0.99332017,1.2934122840100846,PowerLaw,0.12949081,0.4551951,,,,0.0,0.0,0,0.999284260787817,0.0007157392121872906,0.9606548342299347,0.039345165770066554,0.9842913098610975,0.015708690138903438,0.9810429213772524,0.01895707862274751,0.0,0.0,0.0,0.0
4FGL J0039.1+6257,121.53531,0.12189149,1556.6835,-20.026877871609408,2.3489873,0.13300067,0.53318614,6.9901166,-0.19248404,-0.54192173,0.0016059215,0.6666667,-0.14916933,-0.6351463,-0.9616537,-0.81124747,2.1936764497222048,LogParabola,0.1098107,0.20189956,3FGL J0039.3+6256,,,0.0,0.0,0,0.00013154586380681454,0.9998684541361846,0.5795569487858799,0.42044305121412073,0.3120191063280702,0.6879808936719303,0.082363714368634,0.9176362856313657,1.0,0.492,1.0,1.0
4FGL J0039.7+4203,120.615395,-20.753937,1891.1735,-22.60178737634129,2.2988558,0.20404856,0.0159863,0.1962124,0.43188727,-0.2648368,0.0015614355,0.6666667,-0.8281904,-0.47891375,-0.4802665,-0.99996984,2.3294634626442035,PowerLaw,0.09817626,0.33596587,,,,0.0,0.0,0,0.999849705500788,0.0001502944991973738,0.9593805018661739,0.040619498133827286,0.998917159381802,0.0010828406181976529,0.9966917457072954,0.003308254292704264,0.0,0.0,0.0,0.0
4FGL J0040.7-7157,304.10223,-45.138298,3106.5767,-22.292531563509353,1.9914885,0.2800939,0.4993468,3.0711434,-0.8434966,-0.9964569,0.0046604024,0.6666667,0.9799142,-0.4562085,-0.5855802,-0.9984731,0.7171375260198484,LogParabola,0.23661324,0.8224297,,,,0.0,0.0,0,0.9999182674179092,8.173258210293109e-05,0.9431939816589702,0.05680601834103024,0.9834589063912609,0.016541093608739284,0.9817493678183649,0.018250632181635265,0.0,0.005,0.0,0.0
4FGL J0045.9-2021,112.1175,-83.1215,3003.43,-22.620763748918666,1.9567591,0.1966536,0.04939816,0.6343765,-0.94050235,0.99997526,9.43974E-4,0.6666667,-0.6532472,-0.49353585,-0.31714457,-0.75355726,2.154649261721357,PowerLaw,0.08638931,0.28069752,,,,0.0,0.0,0,0.9998989991728363,0.0001010008271775109,0.9594244450634494,0.04057555493655079,0.9995886441210289,0.0004113558789699802,0.99890212295678,0.0010978770432195659,0.0,0.0,0.0,0.0
4FGL J0046.7-7048,303.49277,-46.309517,3417.7913,-22.988642087184946,2.0708344,0.19586968,-0.016095472,0.19607288,-0.9972104,0.9210557,5.7204487E-4,0.6666667,-0.6669575,-0.55773884,-0.9991605,0.9961869,1.4303295715173485,PowerLaw,0.074087225,0.2742608,,,,0.0,0.0,0,0.99853280003581,0.0014671999642001372,0.9587718771721154,0.041228122827886106,0.9985160270051475,0.0014839729948535251,0.9889077957777012,0.011092204222298842,0.0,0.0,0.0,0.0
4FGL J0048.6-6347,303.44296,-53.33411,1341.7461,-21.534258359958486,2.1754348,0.18115535,0.3982205,4.3678927,-0.9999243,0.99952316,0.004762459,0.6666667,-0.40418828,-0.66950274,-0.7854947,-0.99993813,1.5794494143098416,LogParabola,0.14414299,0.5256735,3FGL J0048.1-6343,,,0.0,0.0,0,0.7174804179223965,0.28251958207759104,0.880468535554729,0.11953146444527177,0.936008287136155,0.06399171286384574,0.881764512131608,0.118235487868391,0.0,0.03,0.0,0.0
4FGL J0052.1+6444,123.01039,1.8703632,1656.2418,-21.280574677622546,2.5156395,0.17514867,0.2364143,2.4070873,-0.99547064,0.9997513,0.006582201,0.6666667,-0.46704617,-0.84611344,-0.7719512,-0.99986583,1.1287958486722862,PowerLaw,0.168674,0.6468435,3FGL J0051.6+6445,,,0.0,0.0,512,0.994946849197367,0.005053150802645856,0.9160225765533209,0.08397742344667951,0.8473433698894868,0.15265663011051303,0.940074705651804,0.05992529434819468,0.0,0.012,0.0,0.0
4FGL J0055.7+4507,123.732124,-17.740635,6487.0317,-23.249554263692776,1.771013,0.4425595,0.5161522,2.2921727,0.9999096,-0.9999997,0.009096475,0.6666667,0.9999886,-0.43777117,-0.27764365,-0.6540821,1.4735142432205657,PowerLaw,0.34343994,2.5597537,,,,0.0,0.0,0,0.9998861908999565,0.00011380910002349588,0.9439561456115841,0.05604385438841826,0.9769763429358428,0.02302365706415656,0.9728291902140644,0.027170809785934995,0.0,0.008,0.0,0.0
4FGL J0057.5+6814,123.49776,5.3709292,1602.9055,-22.02819513562857,2.53272,0.17592308,2.597204E-4,0.0,-0.9985833,0.9905463,0.0014255025,0.6666667,-0.8752328,-0.5832085,-0.8921638,0.18170558,1.6527153858906853,PowerLaw,0.071244925,0.16311759,,,,0.0,0.0,16,0.9974229580928918,0.0025770419071221057,0.95918451953685,0.040815480463151615,0.9938501855695826,0.006149814430417864,0.9827137556883195,0.01728624431168127,0.0,0.0,0.0,0.0
4FGL J0057.9+6326,123.66344,0.57604647,14527.771,-22.361689652467856,1.6726426,0.31574553,0.37038267,2.0507538,-0.75293905,-0.85403293,6.5384235E-4,0.6666667,-0.5799879,-0.4396499,-0.14850637,-0.1129792,2.4351019530956663,PowerLaw,0.17205386,0.4585714,,,,0.0,0.0,0,0.9981270258454056,0.0018729741545991327,0.9477802069684923,0.05221979303150846,0.9918251667143179,0.00817483328568159,0.9917388025391916,0.008261197460807739,0.0,0.006,0.0,0.0
4FGL J0058.1+6915,123.53306,6.396929,1805.5524,-22.001673715662097,2.552665,0.17370105,0.032970946,0.43593243,0.97341037,-0.78699374,0.0016776033,0.6666667,-0.63023823,-0.7355421,-0.99754685,0.97655207,2.209425537780697,PowerLaw,0.07843356,0.28971106,,,,0.0,0.0,8,0.9985244256264136,0.001475574373608289,0.9592315283558741,0.04076847164412671,0.9919213860506372,0.008078613949362113,0.9901932429449075,0.009806757055092019,0.0,0.0,0.0,0.0
4FGL J0058.3-4603,299.2362,-71.02254,2822.2625,-23.004372888102978,2.098462,0.19162391,-0.059272204,0.6387118,0.99994236,-0.6631517,9.6362346E-4,0.6666667,-0.7699233,-0.20665368,-0.6204807,-0.11483538,2.5344969292849924,PowerLaw,0.07373702,0.39477935,,,,0.0,0.0,0,0.9998162610420421,0.00018373895796085698,0.9595297943210597,0.04047020567894126,0.9995488928430827,0.0004511071569163307,0.9983870568619057,0.0016129431380931209,0.0,0.0,0.0,0.0
4FGL J0059.4-5654,300.73035,-60.18506,858.0569,-21.512549583988594,2.514828,0.10427359,0.23726532,3.9829772,0.18248886,-0.49821907,0.0033710634,0.6666667,-0.73032105,-0.8154577,-0.8780099,-0.9990394,2.774226032010459,LogParabola,0.08032021,0.24602313,3FGL J0059.1-5701,agn,PKS 0056-572,0.14,0.0,0,0.9957386950213968,0.0042613049785872915,0.9623382916906207,0.03766170830938035,0.9825457924626477,0.017454207537351697,0.9806150240806398,0.019384975919359743,0.0,0.001,0.0,0.0
4FGL J0102.0-6240,300.84314,-54.403248,3027.3816,-22.769991502603073,2.0030367,0.22303848,0.09996205,0.9853003,0.99997556,-0.64813334,0.00205481,0.6666667,-0.4662125,-0.30778533,-0.7820471,-0.4998326,2.135018719346306,PowerLaw,0.12274367,0.43767342,,,,0.0,0.0,0,0.9996700095796313,0.000329990420371223,0.959019835677689,0.04098016432231205,0.997958042947348,0.002041957052652195,0.9949271803107524,0.005072819689249024,0.0,0.0,0.0,0.0
4FGL J0102.1+4458,124.92797,-17.86201,3246.7822,-22.59245939806296,2.0214314,0.46559122,0.7738542,2.5300887,-0.9969884,0.8578584,0.0021675923,0.6666667,-0.7280103,-0.17031722,-0.51491535,-0.9995351,2.122813763659642,PowerLaw,0.3087861,0.0383794,3FGL J0102.1+4458,,,0.0,0.0,4,0.9954710354318211,0.0045289645681697915,0.9548918022998089,0.045108197700193066,0.9923291169281512,0.007670883071848547,0.9923189078404815,0.007681092159518596,0.0,0.0,0.0,0.0
4FGL J0102.3+1000,127.39341,-52.764793,4414.4688,-22.361695724008534,1.9644006,0.32826358,0.3959765,2.3007338,-0.45761946,-0.9987252,0.0044156043,0.6666667,0.97399586,-0.34125528,-0.52482027,-0.99999535,1.3216654275700452,PowerLaw,0.24422736,1.0253317,,,,0.0,0.0,0,0.9999525000155519,4.74999844304927e-05,0.9534609706437619,0.046539029356238874,0.9912315890239877,0.008768410976012414,0.9923020723620274,0.007697927637971804,0.0,0.001,0.0,0.0
4FGL J0104.6-0818,132.989,-70.92556,1213.232,-22.654554832855272,2.3734674,0.3623292,0.06870431,0.3754106,0.07398744,-0.9189969,0.004335815,0.6666667,-0.2467782,-0.59371513,-0.99938387,-0.6538384,1.7716602529250172,PowerLaw,0.19428208,0.6068921,,,,0.0,0.0,0,0.9998215029230619,0.00017849707692169098,0.9603547785835965,0.03964522141640432,0.9974120631551184,0.0025879368448810717,0.9877105646365383,0.012289435363462364,0.0,0.0,0.0,0.0
4FGL J0112.0+3442,127.72831,-27.977003,1290.2421,-22.62737341436303,2.3373687,0.39924687,0.34205857,1.6276882,0.92447466,0.30099624,0.0055140266,0.6666667,-0.55669886,-0.6224094,-0.999968,-0.990754,1.423588526085956,PowerLaw,0.2753685,0.67387706,,,,0.0,0.0,1,0.9994917025996988,0.0005082974002966212,0.9430304147461233,0.05696958525387782,0.8954847768958705,0.1045152231041297,0.9611255784669283,0.03887442153307197,0.0,0.001,0.0,0.0
4FGL J0115.4-2917,236.6043,-84.2885,4747.395,-23.024994052860183,1.8682702,2.775865,0.39544877,1.5024282,-0.9523308,0.9623091,0.009585362,0.6666667,-0.77913606,0.08954483,-0.24720696,-0.9995907,1.9502013187737504,PowerLaw,1.574489,3.3436332,,agn,2QZ J011538-2917,0.11,0.0,0,0.9999785998391187,2.1400160875033115e-05,0.9589755468099777,0.04102445319002282,0.9992769365512452,0.0007230634487550484,0.9909680317801045,0.009031968219895757,0.0,0.0,0.0,0.0
4FGL J0116.8+6914,125.19039,6.4810796,626.4219,-21.968463899736257,2.8148296,0.25752681,0.75626093,4.830724,-0.7031135,-0.29255804,0.0015619874,0.6666667,-0.8535148,-0.99941474,-0.999998,0.9999862,0.36191915696062593,LogParabola,0.19819796,0.21403383,3FGL J0116.8+6913,agn,87GB 011139.6+685928,0.73,0.0,0,0.8141405366834512,0.1858594633165559,0.5699039142588782,0.43009608574112146,0.161655592668315,0.8383444073316842,0.6304020674189155,0.36959793258108403,0.0,0.508,1.0,0.014
4FGL J0118.3-6008,296.8381,-56.66605,1928.3923,-23.05538456288136,2.1720219,0.38724738,0.49745554,2.329121,-1.0,0.9999988,0.007836868,0.6666667,-0.42265618,-0.70876706,-0.85307753,-0.9998646,2.354511736463963,PowerLaw,0.34034577,0.98096514,,,,0.0,0.0,0,0.9994748895371395,0.0005251104628867345,0.9589352312869551,0.04106476871304427,0.9972656662534771,0.002734333746523117,0.9652531605706977,0.03474683942930261,0.0,0.0,0.0,0.0
4FGL J0120.1+0505,136.17094,-57.039967,1020.5781,-22.811411691718867,2.5491157,0.1433962,-0.11327896,1.6264851,0.2700064,-0.9429898,8.919326E-4,0.6666667,-0.3045625,-0.6063143,-0.7101936,-0.9999973,2.183941926292892,PowerLaw,0.04926828,0.3079842,,,,0.0,0.0,0,0.9999272689448453,7.273105512874248e-05,0.9605910473381465,0.03940895266185361,0.9968653917878875,0.0031346082121115155,0.9941314828418708,0.005868517158129228,0.0,0.0,0.0,0.0
4FGL J0120.2-7944,301.32455,-37.297035,1648.3358,-22.728143918835723,2.3834817,0.13905933,-0.087300785,1.3696637,0.9923302,-0.8800795,5.391009E-4,0.6666667,-0.57096386,-0.700483,-0.15547203,-0.6577446,2.7334714964683124,PowerLaw,0.047262046,0.24928038,,,,0.0,0.0,4,0.9999157238343058,8.427616569549327e-05,0.9600512170361897,0.03994878296381095,0.9995553191474396,0.0004446808525611642,0.9976897192798277,0.0023102807201718077,0.0,0.0,0.0,0.0
4FGL J0125.9-6303,296.34128,-53.627823,1416.2109,-22.72709032175507,2.321381,0.16882932,0.007659022,0.101563826,0.39892927,-0.6110002,0.0012538264,0.6666667,-0.8068123,-0.3752848,-0.7504526,-0.25686392,2.233336808533963,PowerLaw,0.076793045,0.25213587,,,,0.0,0.0,0,0.9997261439773352,0.0002738560226786538,0.9610531937934684,0.03894680620653169,0.9995449199934876,0.00045508000651316003,0.9980987202041717,0.001901279795828184,0.0,0.0,0.0,0.0
4FGL J0126.3-6746,297.91083,-49.010098,7687.73,-23.50371871864193,1.737266,0.34784696,0.20507346,1.2218974,0.95706004,-0.999832,0.0017061433,0.6666667,0.9994604,-0.33297503,-0.9938358,0.9813364,1.3858486574844395,PowerLaw,0.20893957,0.70389456,,,,0.0,0.0,0,0.9947901351569104,0.005209864843074609,0.9510353639486964,0.048964636051304695,0.9909604745055274,0.0090395254944735,0.9790137589640905,0.02098624103590935,0.0,0.005,0.0,0.0
4FGL J0126.8+2412,133.17609,-37.95704,409.9141,-22.377130922601644,2.8201225,0.11372462,-0.031127423,0.44761357,-0.50572854,-0.6607537,0.0012348453,0.6666667,-0.7596092,-0.9188179,0.118868954,-0.99835616,3.555796351408208,PowerLaw,0.058823414,0.1421305,,,,0.0,0.0,0,0.9999335730857121,6.642691431314279e-05,0.9680170192986913,0.03198298070130821,0.9999732531974423,2.6746802556981353e-05,0.9988209278028749,0.0011790721971270562,0.0,0.0,0.0,0.0
4FGL J0131.7-5346,290.05676,-62.33528,1277.0319,-22.42190804250303,2.3552547,0.23483618,0.08636972,0.65008974,0.97801,-0.55551255,0.0022347805,0.6666667,-0.47565746,-0.8352642,-0.6056852,-0.17918804,1.5072256011578333,PowerLaw,0.15694925,0.32714105,3FGL J0132.1-5340,,,0.0,0.0,0,0.999815000156445,0.00018499984356132098,0.9616942076598222,0.038305792340179175,0.9953885919847325,0.0046114080152680976,0.9945980851104288,0.005401914889570565,0.0,0.0,0.0,0.0
4FGL J0132.1-0956,154.01999,-70.31441,587.0436,-22.639799913779154,2.7233727,0.21078545,0.47943446,3.4646678,-0.4647489,-0.59445494,0.016233219,0.6666667,-0.8894789,-0.7659902,-0.9998647,0.68571866,3.0688056552661807,LogParabola,0.21813713,0.68846476,,agn,AT20G J013235-094419,0.15,0.0,0,0.9992564363972183,0.0007435636027766443,0.9646726742489081,0.03532732575109345,0.9949575299292004,0.005042470070799595,0.9673401837096244,0.032659816290375926,0.0,0.0,0.0,0.0
4FGL J0137.3-3239,244.7201,-78.62133,1744.1489,-22.920885843399844,2.252944,0.2471971,0.059750095,0.48446235,0.8493735,0.15434808,0.002128816,0.6666667,-0.7755035,-0.1541218,-0.99989015,0.9983735,2.0541873344139256,PowerLaw,0.14089927,0.3671257,,,,0.0,0.0,0,0.9942100058049178,0.005789994195074103,0.9597424857730109,0.04025751422698961,0.9979181551449263,0.002081844855075537,0.9904473883461069,0.009552611653892542,0.0,0.0,0.0,0.0
