Source_Name_4FGL,GLON_4FGL,GLAT_4FGL,Pivot_Energy,Flux1000,PL_Index,Unc_LP_Index,LP_Beta,LP_Sigcurv,hr12,hr23,Unc_PLEC_Expfactor,Unc_PLEC_Index,hr34,hr45,hr56,hr67,Variability_Index,Spectrum_Type,Unc_LP_beta,PLEC_Expfactor,ASSOC_FGL,ASSOC_FHL,CLASS1,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,FLAGS,AGN_BDT,PSR_BDT,AGN_NN,PSR_NN,AGN_LR,PSR_LR,AGN_RF,PSR_RF,BDT_Predict,NN_Predict,LR_Predict,RF_Predict,Category_Prob
4FGL J0009.2+1745,108.90927,-43.96513,852.2369,-22.6776261,2.5332298,0.28011072,0.24630912,1.7144711,-0.71931475,-0.6300978,0.006671054,0.6666667,-0.58815855,-0.8256248,-0.99990636,0.6616946,2.58871347,PowerLaw,0.19021377,0.5856498,,,agn,WISE J000848.06+175048.8,0.31,0,0,0.999623026,0.000377,0.977902595,0.022097405,0.998372699,0.001627301,0.989931835,0.010068165,0,0,0,0,AGN
4FGL J0009.7-1418,83.705765,-73.91203,894.4551,-22.1570377,2.3998108,0.120929815,0.075080775,1.0954866,0.999996,-0.3714634,0.001497066,0.6666667,-0.80372804,-0.7190192,-0.372177,-0.99980676,2.50332368,PowerLaw,0.07368669,0.17261867,3FGL J0010.5-1425,,,,0,0,0,0.999730801,0.000269,0.978140365,0.021859635,0.997314047,0.002685953,0.996087245,0.003912755,0,0,0,0,AGN
4FGL J0017.1-4605,320.38864,-69.86521,481.514,-22.9596258,2.8010092,0.1402191,-0.05767152,0.7361713,0.98915803,-0.76173323,0.001520187,0.6666667,-0.7686702,-0.6768366,-0.9451816,-0.9954987,1.41637058,PowerLaw,0.063843355,0.19430096,,,,,0,0,0,0.997646937,0.002353063,0.988093856,0.011906144,0.98717356,0.01282644,0.987995791,0.012004209,0,0,0,0,AGN
4FGL J0022.0-5921,309.86963,-57.381134,732.5074,-22.0468137,2.537588,0.08919102,-0.005795238,0.10795683,-0.41060922,-0.75831926,0.001111609,0.6666667,-0.7182757,-0.6109099,-0.7336397,-0.99996674,3.45556877,PowerLaw,0.04666388,0.13310328,,,,,0,0,2,0.999914757,8.52e-05,0.987737179,0.012262821,0.999957003,4.3e-05,0.998765632,0.001234368,0,0,0,0,AGN
4FGL J0023.6-4209,321.8499,-73.93347,3249.713,-22.8512368,1.9954411,0.17606138,-0.031098245,0.4431692,0.94646424,-0.83410853,0.000376,0.6666667,-0.29289755,-0.5566745,-0.9994473,0.998512,2.92152497,PowerLaw,0.062351476,0.23858924,,,agn,CRATES J002254-420637,0.72,0,0,0.999659418,0.000341,0.974995833,0.025004167,0.999757793,0.000242,0.991813513,0.008186487,0,0,0,0,AGN
4FGL J0024.1+2402,114.974655,-38.41322,2737.6848,-22.3582954,2.0550044,0.1697117,0.01731128,0.24656475,-0.45307314,0.98913324,0.001322517,0.6666667,-0.80156136,-0.12376198,-0.42635804,-0.9996665,2.93189043,PowerLaw,0.07409332,0.34101403,,,,,0,0,0,0.999944885,5.51e-05,0.974778693,0.025221307,0.999788349,0.000212,0.999066522,0.000933,0,0,0,0,AGN
4FGL J0025.4-4838,314.39056,-67.90782,2360.4954,-22.4204188,2.120224,0.24728215,0.19902249,1.3044256,-0.87598664,-0.6207203,0.00225563,0.6666667,-0.2265852,-0.7316914,-0.39647144,-0.99995095,2.31593618,PowerLaw,0.16308129,0.46133882,,,,,0,0,16,0.999863452,0.000137,0.975303657,0.024696343,0.999801707,0.000198,0.995134642,0.004865358,0,0,0,0,AGN
4FGL J0026.1-0732,104.761604,-69.51759,2877.582,-22.6002939,2.0678716,0.23553458,0.007497286,0.0763394,0.96486175,-0.57855695,0.001536281,0.6666667,-0.7516996,-0.0845608,-0.9998975,0.99935234,0.226575936,PowerLaw,0.097587176,0.4889399,,,,,0,0,0,0.995260765,0.004739235,0.96858096,0.03141904,0.944507803,0.055492197,0.982361455,0.017638545,0,0,0,0,AGN
4FGL J0031.0-2327,70.318275,-84.105675,1537.2075,-22.516509,2.1938756,0.3009217,0.6046377,2.8907936,-0.99996674,0.9996977,0.008457327,0.6666667,-0.39504796,-0.6783464,-0.9999992,0.99995095,1.71622028,PowerLaw,0.32244062,0.86579686,3FGL J0031.2-2320,,agn,2WHSP J003120.5-233401.,0.45,0,0,0.998985919,0.001014081,0.947698551,0.052301449,0.973696168,0.026303832,0.95142291,0.04857709,0,0,0,0,AGN
4FGL J0031.5-5648,308.3834,-60.11082,3495.2537,-22.7274597,1.9233072,0.23820475,0.1205033,1.1865219,-0.91591537,-0.6519288,0.002160789,0.6666667,-0.29841223,-0.49303713,-0.22535305,-0.9999604,2.45745627,PowerLaw,0.1262378,0.4946759,,,,,0,0,0,0.999868721,0.000131,0.974630977,0.025369023,0.999917355,8.26e-05,0.997841723,0.002158277,0,0,0,0,AGN
4FGL J0034.6+6438,121.13443,1.8261667,2202.9792,-21.0969587,2.4075618,0.1477125,0.20903453,2.615125,-0.9846532,0.9999429,0.002399671,0.6666667,-0.64227164,-0.7263853,-0.66132796,-0.9997937,1.22235881,PowerLaw,0.10449372,0.35074928,,,,,0,0,0,0.981089956,0.018910044,0.902968907,0.097031093,0.868967082,0.131032918,0.94137916,0.05862084,0,0.015,0,0,AGN
4FGL J0035.2-1739,100.58408,-79.825195,5669.1714,-23.0925041,1.7786542,0.26173517,0.048505876,0.45255506,0.9326504,-0.79339254,0.000846,0.6666667,-0.39450625,-0.30055183,-0.5851418,-0.10119126,0.711072586,PowerLaw,0.11647171,0.41775858,,,,,0,0,0,0.999921637,7.84e-05,0.964416164,0.035583836,0.979070861,0.020929139,0.998555209,0.001444791,0,0.002,0,0,AGN
4FGL J0037.2-2653,36.389965,-86.83259,1037.477,-23.0481264,2.4598632,0.23835601,0.060050935,0.44429338,0.9991169,-0.8291821,0.004045378,0.6666667,-0.6816895,-0.44899788,-0.99999946,0.99332017,1.29341228,PowerLaw,0.12949081,0.4551951,,,,,0,0,0,0.999284261,0.000716,0.976649894,0.023350106,0.98429131,0.01570869,0.98095117,0.01904883,0,0,0,0,AGN
4FGL J0039.1+6257,121.53531,0.12189149,1556.6835,-20.0268779,2.3489873,0.13300067,0.53318614,6.9901166,-0.19248404,-0.54192173,0.001605922,0.6666667,-0.14916933,-0.6351463,-0.9616537,-0.81124747,2.19367645,LogParabola,0.1098107,0.20189956,3FGL J0039.3+6256,,,,0,0,0,0.000132,0.999868454,0.398676663,0.601323337,0.312019106,0.687980894,0.0814967,0.9185033,1,0.736,1,1,PSR
4FGL J0039.7+4203,120.615395,-20.753937,1891.1735,-22.6017874,2.2988558,0.20404856,0.0159863,0.1962124,0.43188727,-0.2648368,0.001561436,0.6666667,-0.8281904,-0.47891375,-0.4802665,-0.99996984,2.32946346,PowerLaw,0.09817626,0.33596587,,,,,0,0,0,0.999849706,0.00015,0.975084729,0.024915271,0.998917159,0.001082841,0.99650167,0.00349833,0,0,0,0,AGN
4FGL J0040.7-7157,304.10223,-45.138298,3106.5767,-22.2925316,1.9914885,0.2800939,0.4993468,3.0711434,-0.8434966,-0.9964569,0.004660402,0.6666667,0.9799142,-0.4562085,-0.5855802,-0.9984731,0.717137526,LogParabola,0.23661324,0.8224297,,,,,0,0,0,0.999918267,8.17e-05,0.947705827,0.052294173,0.983458906,0.016541094,0.981529014,0.018470986,0,0.002,0,0,AGN
4FGL J0045.9-2021,112.1175,-83.1215,3003.43,-22.6207637,1.9567591,0.1966536,0.04939816,0.6343765,-0.94050235,0.99997526,0.000944,0.6666667,-0.6532472,-0.49353585,-0.31714457,-0.75355726,2.15464926,PowerLaw,0.08638931,0.28069752,,,,,0,0,0,0.999898999,0.000101,0.974694565,0.025305435,0.999588644,0.000411,0.998972206,0.001027794,0,0,0,0,AGN
4FGL J0046.7-7048,303.49277,-46.309517,3417.7913,-22.9886421,2.0708344,0.19586968,-0.016095472,0.19607288,-0.9972104,0.9210557,0.000572,0.6666667,-0.6669575,-0.55773884,-0.9991605,0.9961869,1.43032957,PowerLaw,0.074087225,0.2742608,,,,,0,0,0,0.9985328,0.0014672,0.973365379,0.026634621,0.998516027,0.001483973,0.988972551,0.011027449,0,0,0,0,AGN
4FGL J0048.6-6347,303.44296,-53.33411,1341.7461,-21.5342584,2.1754348,0.18115535,0.3982205,4.3678927,-0.9999243,0.99952316,0.004762459,0.6666667,-0.40418828,-0.66950274,-0.7854947,-0.99993813,1.57944941,LogParabola,0.14414299,0.5256735,3FGL J0048.1-6343,,,,0,0,0,0.717480418,0.282519582,0.862550157,0.137449843,0.936008287,0.063991713,0.883543653,0.116456347,0,0.038,0,0,AGN
4FGL J0052.1+6444,123.01039,1.8703632,1656.2418,-21.2805747,2.5156395,0.17514867,0.2364143,2.4070873,-0.99547064,0.9997513,0.006582201,0.6666667,-0.46704617,-0.84611344,-0.7719512,-0.99986583,1.12879585,PowerLaw,0.168674,0.6468435,3FGL J0051.6+6445,,,,0,0,512,0.994946849,0.005053151,0.890045071,0.109954929,0.84734337,0.15265663,0.93819146,0.06180854,0,0.015,0,0,AGN
4FGL J0055.7+4507,123.732124,-17.740635,6487.0317,-23.2495543,1.771013,0.4425595,0.5161522,2.2921727,0.9999096,-0.9999997,0.009096475,0.6666667,0.9999886,-0.43777117,-0.27764365,-0.6540821,1.47351424,PowerLaw,0.34343994,2.5597537,,3FHL J0055.8+4507,,,0,0,0,0.999886191,0.000114,0.94285903,0.05714097,0.976976343,0.023023657,0.973368672,0.026631328,0,0.008,0,0,AGN
4FGL J0057.5+6814,123.49776,5.3709292,1602.9055,-22.0281951,2.53272,0.17592308,0.00026,0,-0.9985833,0.9905463,0.001425503,0.6666667,-0.8752328,-0.5832085,-0.8921638,0.18170558,1.65271539,PowerLaw,0.071244925,0.16311759,,,,,0,0,16,0.997422958,0.002577042,0.973569969,0.026430031,0.993850186,0.006149814,0.982769587,0.017230413,0,0,0,0,AGN
4FGL J0057.9+6326,123.66344,0.57604647,14527.771,-22.3616896,1.6726426,0.31574553,0.37038267,2.0507538,-0.75293905,-0.85403293,0.000654,0.6666667,-0.5799879,-0.4396499,-0.14850637,-0.1129792,2.43510195,PowerLaw,0.17205386,0.4585714,,3FHL J0057.9+6325,,,0,0,0,0.998127026,0.001872974,0.94928651,0.05071349,0.991825167,0.008174833,0.992359223,0.007640777,0,0.01,0,0,AGN
4FGL J0058.1+6915,123.53306,6.396929,1805.5524,-22.0016737,2.552665,0.17370105,0.032970946,0.43593243,0.97341037,-0.78699374,0.001677603,0.6666667,-0.63023823,-0.7355421,-0.99754685,0.97655207,2.20942554,PowerLaw,0.07843356,0.28971106,,,,,0,0,8,0.998524426,0.001475574,0.973755458,0.026244542,0.991921386,0.008078614,0.99050935,0.00949065,0,0,0,0,AGN
4FGL J0058.3-4603,299.2362,-71.02254,2822.2625,-23.0043729,2.098462,0.19162391,-0.059272204,0.6387118,0.99994236,-0.6631517,0.000964,0.6666667,-0.7699233,-0.20665368,-0.6204807,-0.11483538,2.53449693,PowerLaw,0.07373702,0.39477935,,,,,0,0,0,0.999816261,0.000184,0.975112578,0.024887422,0.999548893,0.000451,0.998679325,0.001320675,0,0,0,0,AGN
4FGL J0059.4-5654,300.73035,-60.18506,858.0569,-21.5125496,2.514828,0.10427359,0.23726532,3.9829772,0.18248886,-0.49821907,0.003371063,0.6666667,-0.73032105,-0.8154577,-0.8780099,-0.9990394,2.77422603,LogParabola,0.08032021,0.24602313,3FGL J0059.1-5701,,agn,PKS 0056-572,0.14,0,0,0.995738695,0.004261305,0.978007075,0.021992925,0.982545792,0.017454208,0.980608948,0.019391052,0,0,0,0,AGN
4FGL J0102.0-6240,300.84314,-54.403248,3027.3816,-22.7699915,2.0030367,0.22303848,0.09996205,0.9853003,0.99997556,-0.64813334,0.00205481,0.6666667,-0.4662125,-0.30778533,-0.7820471,-0.4998326,2.13501872,PowerLaw,0.12274367,0.43767342,,,,,0,0,0,0.99967001,0.00033,0.973959608,0.026040392,0.997958043,0.002041957,0.995215364,0.004784636,0,0,0,0,AGN
4FGL J0102.1+4458,124.92797,-17.86201,3246.7822,-22.5924594,2.0214314,0.46559122,0.7738542,2.5300887,-0.9969884,0.8578584,0.002167592,0.6666667,-0.7280103,-0.17031722,-0.51491535,-0.9995351,2.12281376,PowerLaw,0.3087861,0.0383794,3FGL J0102.1+4458,,,,0,0,4,0.995471035,0.004528965,0.963499431,0.036500569,0.992329117,0.007670883,0.992243336,0.007756664,0,0,0,0,AGN
4FGL J0102.3+1000,127.39341,-52.764793,4414.4688,-22.3616957,1.9644006,0.32826358,0.3959765,2.3007338,-0.45761946,-0.9987252,0.004415604,0.6666667,0.97399586,-0.34125528,-0.52482027,-0.99999535,1.32166543,PowerLaw,0.24422736,1.0253317,,,,,0,0,0,0.9999525,4.75e-05,0.96442454,0.03557546,0.991231589,0.008768411,0.992192039,0.007807961,0,0,0,0,AGN
4FGL J0104.6-0818,132.989,-70.92556,1213.232,-22.6545548,2.3734674,0.3623292,0.06870431,0.3754106,0.07398744,-0.9189969,0.004335815,0.6666667,-0.2467782,-0.59371513,-0.99938387,-0.6538384,1.77166025,PowerLaw,0.19428208,0.6068921,,,,,0,0,0,0.999821503,0.000178,0.977399992,0.022600008,0.997412063,0.002587937,0.987962945,0.012037055,0,0,0,0,AGN
4FGL J0112.0+3442,127.72831,-27.977003,1290.2421,-22.6273734,2.3373687,0.39924687,0.34205857,1.6276882,0.92447466,0.30099624,0.005514027,0.6666667,-0.55669886,-0.6224094,-0.999968,-0.990754,1.42358853,PowerLaw,0.2753685,0.67387706,,,,,0,0,1,0.999491703,0.000508,0.948187661,0.051812339,0.895484777,0.104515223,0.960829145,0.039170855,0,0,0,0,AGN
4FGL J0115.4-2917,236.6043,-84.2885,4747.395,-23.0249941,1.8682702,2.775865,0.39544877,1.5024282,-0.9523308,0.9623091,0.009585362,0.6666667,-0.77913606,0.08954483,-0.24720696,-0.9995907,1.95020132,PowerLaw,1.574489,3.3436332,,3FHL J0115.4-2916,agn,2QZ J011538-2917,0.11,0,0,0.9999786,2.14e-05,0.97360755,0.02639245,0.999276937,0.000723,0.991646901,0.008353099,0,0,0,0,AGN
4FGL J0116.8+6914,125.19039,6.4810796,626.4219,-21.9684639,2.8148296,0.25752681,0.75626093,4.830724,-0.7031135,-0.29255804,0.001561987,0.6666667,-0.8535148,-0.99941474,-0.999998,0.9999862,0.361919157,LogParabola,0.19819796,0.21403383,3FGL J0116.8+6913,,agn,87GB 011139.6+685928,0.73,0,0,0.814140537,0.185859463,0.377018025,0.622981975,0.161655593,0.838344407,0.634990783,0.365009217,0,0.78,1,0.01,MIXED
4FGL J0118.3-6008,296.8381,-56.66605,1928.3923,-23.0553846,2.1720219,0.38724738,0.49745554,2.329121,-1,0.9999988,0.007836868,0.6666667,-0.42265618,-0.70876706,-0.85307753,-0.9998646,2.35451174,PowerLaw,0.34034577,0.98096514,,,,,0,0,0,0.99947489,0.000525,0.97339088,0.02660912,0.997265666,0.002734334,0.965943596,0.034056404,0,0,0,0,AGN
4FGL J0120.1+0505,136.17094,-57.039967,1020.5781,-22.8114117,2.5491157,0.1433962,-0.11327896,1.6264851,0.2700064,-0.9429898,0.000892,0.6666667,-0.3045625,-0.6063143,-0.7101936,-0.9999973,2.18394193,PowerLaw,0.04926828,0.3079842,,,,,0,0,0,0.999927269,7.27e-05,0.977484329,0.022515671,0.996865392,0.003134608,0.994119055,0.005880945,0,0,0,0,AGN
4FGL J0120.2-7944,301.32455,-37.297035,1648.3358,-22.7281439,2.3834817,0.13905933,-0.087300785,1.3696637,0.9923302,-0.8800795,0.000539,0.6666667,-0.57096386,-0.700483,-0.15547203,-0.6577446,2.7334715,PowerLaw,0.047262046,0.24928038,,,,,0,0,4,0.999915724,8.43e-05,0.975890407,0.024109593,0.999555319,0.000445,0.997684724,0.002315276,0,0,0,0,AGN
4FGL J0125.9-6303,296.34128,-53.627823,1416.2109,-22.7270903,2.321381,0.16882932,0.007659022,0.101563826,0.39892927,-0.6110002,0.001253826,0.6666667,-0.8068123,-0.3752848,-0.7504526,-0.25686392,2.23333681,PowerLaw,0.076793045,0.25213587,,,,,0,0,0,0.999726144,0.000274,0.97796246,0.02203754,0.99954492,0.000455,0.998006305,0.001993695,0,0,0,0,AGN
4FGL J0126.3-6746,297.91083,-49.010098,7687.73,-23.5037187,1.737266,0.34784696,0.20507346,1.2218974,0.95706004,-0.999832,0.001706143,0.6666667,0.9994604,-0.33297503,-0.9938358,0.9813364,1.38584866,PowerLaw,0.20893957,0.70389456,,,,,0,0,0,0.994790135,0.005209865,0.958968981,0.041031019,0.990960475,0.009039525,0.97888025,0.02111975,0,0.002,0,0,AGN
4FGL J0126.8+2412,133.17609,-37.95704,409.9141,-22.3771309,2.8201225,0.11372462,-0.031127423,0.44761357,-0.50572854,-0.6607537,0.001234845,0.6666667,-0.7596092,-0.9188179,0.118868954,-0.99835616,3.55579635,PowerLaw,0.058823414,0.1421305,,,,,0,0,0,0.999933573,6.64e-05,0.985353668,0.014646332,0.999973253,2.67e-05,0.99879066,0.00120934,0,0,0,0,AGN
4FGL J0131.7-5346,290.05676,-62.33528,1277.0319,-22.421908,2.3552547,0.23483618,0.08636972,0.65008974,0.97801,-0.55551255,0.002234781,0.6666667,-0.47565746,-0.8352642,-0.6056852,-0.17918804,1.5072256,PowerLaw,0.15694925,0.32714105,3FGL J0132.1-5340,,,,0,0,0,0.999815,0.000185,0.978691866,0.021308134,0.995388592,0.004611408,0.99459918,0.00540082,0,0,0,0,AGN
4FGL J0132.1-0956,154.01999,-70.31441,587.0436,-22.6397999,2.7233727,0.21078545,0.47943446,3.4646678,-0.4647489,-0.59445494,0.016233219,0.6666667,-0.8894789,-0.7659902,-0.9998647,0.68571866,3.06880565,LogParabola,0.21813713,0.68846476,,,agn,AT20G J013235-094419,0.15,0,0,0.999256436,0.000744,0.981606486,0.018393514,0.99495753,0.00504247,0.967183904,0.032816096,0,0,0,0,AGN
4FGL J0137.3-3239,244.7201,-78.62133,1744.1489,-22.9208858,2.252944,0.2471971,0.059750095,0.48446235,0.8493735,0.15434808,0.002128816,0.6666667,-0.7755035,-0.1541218,-0.99989015,0.9983735,2.05418733,PowerLaw,0.14089927,0.3671257,,,,,0,0,0,0.994210006,0.005789994,0.976092562,0.023907438,0.997918155,0.002081845,0.990246725,0.009753275,0,0,0,0,AGN
4FGL J0139.5-2228,192.49397,-78.132126,1619.142,-21.8102451,2.0709014,0.30222672,0.6364676,4.1017823,-0.9999989,0.9999901,0.00625742,0.6666667,-0.32230237,-0.4133878,-0.9338976,-0.9999195,2.23084142,LogParabola,0.26772854,0.80142176,,,,,0,0,0,0.996624145,0.003375855,0.935083108,0.064916892,0.971676632,0.028323368,0.903801785,0.096198215,0,0.005,0,0,AGN
4FGL J0140.3+7054,126.94713,8.414599,5510.8564,-22.2084675,2.001321,0.23352878,0.19876093,1.444324,0.89403147,-0.95221096,0.001455772,0.6666667,0.037887704,-0.4076255,-0.4174423,-0.5623125,1.7920495,PowerLaw,0.14053155,0.51091564,,3FHL J0140.3+7054,,,0,0,0,0.999517568,0.000482,0.963322082,0.036677918,0.986566034,0.013433966,0.996919261,0.003080739,0,0,0,0,AGN
4FGL J0140.5-4730,280.91638,-67.46981,465.21622,-23.1166165,2.8653383,0.13779512,-0.11463478,1.6899593,-0.6277197,-0.8509598,0.000812,0.6666667,-0.5180796,-0.7500977,-0.9998597,0.5184178,1.75914934,PowerLaw,0.048151884,0.2173876,,,,,0,0,4,0.998027244,0.001972756,0.98879572,0.01120428,0.997429528,0.002570472,0.988260834,0.011739166,0,0,0,0,AGN
4FGL J0142.5+6650,127.93481,4.459727,1128.8978,-21.5764574,2.569033,0.30122668,0.5064655,3.4151874,-0.78020245,0.013785608,0.09466242,0.6666667,-0.6697796,-0.833776,-0.9524619,-0.9931345,1.117745,LogParabola,0.2630764,6.807821,,,,,0,0,9,0.936995074,0.063004926,0.679229473,0.320770527,0.678912441,0.321087559,0.855775115,0.144224885,0,0.226,0.007,0,AGN
4FGL J0144.3+5959,129.50565,-2.1973364,966.2428,-21.9226835,2.6243238,0.18116315,0.06326261,0.63419175,0.9999999,-0.55668896,0.003347653,0.6666667,-0.7387664,-0.79999906,-0.6693385,-0.9998638,1.59391371,PowerLaw,0.10859622,0.36957064,,,,,0,0,9,0.999727046,0.000273,0.971965529,0.028034471,0.974273872,0.025726128,0.987614535,0.012385465,0,0,0,0,AGN
4FGL J0150.4+4848,132.83994,-12.919026,4082.8174,-22.5678076,2.098816,0.4097392,0.9999538,3.2805753,0.9998983,-0.8270344,0.001878691,0.6666667,-0.50877696,0.13861662,-0.9750211,-0.99718904,1.32327122,LogParabola,,0.02801396,3FGL J0149.6+4846,,,,0,0,2052,0.985559745,0.014440255,0.822793984,0.177206016,0.623813957,0.376186043,0.894414498,0.105585502,0,0.104,0.003,0,AGN
4FGL J0153.3+5416,131.96814,-7.508969,5661.3086,-22.5220605,1.9180267,0.22563702,0.051203556,0.5265455,-0.80462694,-0.06347771,0.000496,0.6666667,-0.8316336,-0.11881941,-0.58899593,-0.30379006,2.58358534,PowerLaw,0.10362572,0.2575326,,,,,0,0,0,0.999897422,0.000103,0.971968065,0.028031935,0.999536467,0.000464,0.998822143,0.001177857,0,0,0,0,AGN
4FGL J0154.6+0051,153.99019,-58.14662,7103.723,-23.1209238,1.72663,0.88729006,0.6500934,2.2303529,-0.15189664,-0.99992436,0.001875408,0.6666667,0.99710166,-0.5419926,-0.02954485,-0.9995968,1.60911227,PowerLaw,0.62647426,0.07865392,,,agn,SDSS J01547+0050,0.31,0,0,0.999562161,0.000438,0.961163631,0.038836369,0.99647402,0.00352598,0.989584622,0.010415378,0,0.002,0,0,AGN
4FGL J0156.3-2420,205.71896,-75.13678,2909.2756,-22.2201806,1.863597,0.14531232,0.122865185,1.8109763,-0.99997455,0.99966604,0.000804,0.6666667,-0.0824855,-0.66202134,-0.30320153,-0.35854203,3.61013941,PowerLaw,0.079004616,0.20808989,3FGL J0156.5-2423,3FHL J0156.2-2419,,,0,0,0,0.999920062,7.99e-05,0.975001142,0.024998858,0.999950747,4.93e-05,0.997332106,0.002667894,0,0,0,0,AGN
